SPEAKER_00:  Harry trades the same way he approaches life. Customize, don't compromise. Which is precisely why he uses the TD Active Trader platform. Because in a world of customizations, nothing compares to the deep customization capabilities of the TD Active Trader platform, where even custom customizations are, well, customized. Everything you need to live, breathe, trade. Visit td.com slash active trader to learn more. TD, ready for you.
SPEAKER_07:  Yeah, that's something.
SPEAKER_10:  It'll get very short for a ticket.
SPEAKER_07:  I have your attention. We've heard.
SPEAKER_04:  Be sure.
SPEAKER_07:  Pick it
SPEAKER_10:  What morning Bernie...
SPEAKER_11:  Well, you're wedding, wedding and learning. Very good.
SPEAKER_05:  Well, you're wedding and learning, right? Everything here.
SPEAKER_05:  relates to glove.
SPEAKER_07:  I do. I'm sure it's again and all the details head over to curl.com slash event.
SPEAKER_09:  It's a prequel wedding. It happened right before the events of the interview. Yeah! And could you just animate that?
SPEAKER_09:  There we go.
SPEAKER_05:  H content ready for tech tracker
SPEAKER_09:  Also on the dairy team.
SPEAKER_05:  This is crazy.
SPEAKER_05:  Good news.
SPEAKER_05:  and we don't know what they're gonna do from here. Ben...
SPEAKER_09:  I want you all... Behold, queen by midnight quarter past!
SPEAKER_09:  A wonderful producer in Fun Kyle Sires' latest, Darington Press creation. It is a standalone expansion to be my midnight.
SPEAKER_09:  You gorgeous men!
SPEAKER_03:  You gorgeous men! Oh, yes, queen by midnight.
SPEAKER_09:  Go away, guys! You
SPEAKER_03:  This is...
SPEAKER_09:  This is a standalone expansion commandment with new two-player rules, tons of new bizarre cards, and four new princesses with unique strategy, strategies, strategies, sorry, it could be to try to get strategies. You don't have to be really good.
SPEAKER_08:  It could be to tragic strategies. You don't know. Such a...
SPEAKER_08:  guys, the diva of the 12-
SPEAKER_09:  It's Lisa Lacraken who want only banishes cards to her glorious grotto growing and a hoarding It's power before leashing it upon all of her foes
SPEAKER_04:  I C
SPEAKER_09:  She's a badass. You can buy Queen by Midnight Quarter Pass now at your friend and local game stores, Darrington Press Guild stores, where you'll find foil versions of all these four princesses, ultimate cards, and select Critical Role Shops.
SPEAKER_09:  at least.
SPEAKER_08:  I think that includes our announcements.
SPEAKER_09:  So.
SPEAKER_08:  if Sam is still alive.
SPEAKER_08:  from his chokes.
SPEAKER_08:  over there probably good. We'll get it from here. Yeah, we'll make it work.
SPEAKER_08:  I'd love this time to jump into tonight's episode of
SPEAKER_08:  With the VMware.
SPEAKER_04:  It's Thursday, bye!
SPEAKER_04:  We'll repeat a random meter destiny
SPEAKER_04:  Ooh, your breath and roar
SPEAKER_04:  It's Thursday night!
SPEAKER_05:  Bye!
SPEAKER_05:  All you critters come join us six times to continue our flight
SPEAKER_05:  There is magic and mystery Who knows what will happen in my life
SPEAKER_05:  One thing's for sure
SPEAKER_05:  They never give up on the fight
SPEAKER_05:  from the healer
SPEAKER_05:  to the renegade.
SPEAKER_05:  We all share the same goal.
SPEAKER_06:  Adding more allies, taking more chances Hold your breath and draw
SPEAKER_05:  It's Thursday night!
SPEAKER_05:  All you critters come join us it's mine
SPEAKER_08:  There is magic and mystery from darkness, our friendship will rise One thing's for sure
SPEAKER_05:  We never give up all the fight
SPEAKER_05:  Oh, get ready!
SPEAKER_05:  It's Thursday night
SPEAKER_08:  and welcome back.
SPEAKER_08:  So.
SPEAKER_08:  Last we left off.
SPEAKER_09:  The Mighty Nein and Bell's Hells had tracked two rheumatists and had set up themselves at the point of plan divergence.
SPEAKER_09:  towards the core and...
SPEAKER_09:  the weave mind.
SPEAKER_09:  Meanwhile, it came back to Vox Machina, that were helming the assault in the Malius key itself and as such drawing attention away from their more subtle plan within the depths of the red ready.
SPEAKER_09:  They gathered their forces, found old friends who are now sent hearts.
SPEAKER_09:  Then...
SPEAKER_09:  prepared themselves in Vasselheim, gathered, allies, bolstered themselves.
SPEAKER_09:  and joining a number of other sky ships that descended after the initial beginnings of the assault.
SPEAKER_09:  landed within the middle of the Tishtha excavation site. The massive ancient stronghold now risen to the psychic powers of the weave mind. Broken.
SPEAKER_09:  and
SPEAKER_09:  Standing, frightening.
SPEAKER_08:  Let's get right into the end.
SPEAKER_08:  It battled the way through the core of where they had landed, heading towards where the Malius key currently stood.
SPEAKER_08:  and we left off just as they began to find.
SPEAKER_08:  the core of their goal. Everybody if you'd like to come back-
SPEAKER_09:  the table please.
SPEAKER_05:  Until...
SPEAKER_05:  Wow
SPEAKER_10:  Whoa, oh shit. Oh shit. Oh shit. Oh, it's there. Oh no. No Need your clothes
SPEAKER_05:  It's there, it's there! Oh no! What a dangerous cause!
SPEAKER_05: baum choice.
SPEAKER_03:  Okay, wow, wow, man, what the hell do you mean?
SPEAKER_02:  Wow man, what the hell dude?
SPEAKER_02:  Speaking of critmas.
SPEAKER_09:  Wow, you know, so what a place to TP tag.
SPEAKER_11:  What a place.
SPEAKER_09:  This was the sight that you had gained eyes on as you began to approach on that far end.
SPEAKER_09:  So you haven't engaged yet.
SPEAKER_09:  But you are on the cusp of it.
SPEAKER_05:  But you are on the cuss button.
SPEAKER_11:  Move the
SPEAKER_05:  We're there.
SPEAKER_11:  per evaluating.
SPEAKER_09:  We're over here.
SPEAKER_09:  Look at us, very adorable.
SPEAKER_09:  So that all being the case.
SPEAKER_12:  I'm not smart in that the boy would you like to do?
SPEAKER_13:  but I'm going to step inside the table before I go to the roof spring.
SPEAKER_12:  I'm going to jump in here and seeing how close we are as a player and as Leah tell. She right where she is is going to draw a blade and drag it through her hand and blood is going to start to drip down from on top of this white giant white raven she's riding on. It falls three or four feet down and evaporates back up to her hand and a
SPEAKER_12:  Gout a black shadow expands out in every direction as she casts the spell holy aura
SPEAKER_12:  Uh, we can see it's real good for us.
SPEAKER_13:  We think it's all good for us.
SPEAKER_12:  I don't have my shit open. Is it concentration? Yes, bless. Let's on. Thank you. Calented.
SPEAKER_09:  the concentration.
SPEAKER_09:  Bless on the Council. If you could take the bless off of that there. Thank you.
SPEAKER_11:  Oh, it's different.
SPEAKER_11:  Yeah, no, it's got a little old scotter little things in one.
SPEAKER_12:  hae, hae, hae, hae, hae, hae 750B Keiffe, hae raven, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, ha, haehae, ha, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, Muskgee, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae, hae and, hae, hae, hah, hae, hae, hae, hae, hae, hae... hae... hae
SPEAKER_12:  glorism.
SPEAKER_12:  Carry on.
SPEAKER_12:  with your
SPEAKER_12:  So, holy aura. Divine light washes out from you on coalesce and it's all for radiance and a 30 foot radius, so that should hit.
SPEAKER_12:  Vexalia, a little higher and everyone down below.
SPEAKER_05:  down below.
SPEAKER_12:  Creatures of your choice in that radius when you cast the spell shed dim light and a five foot radius You have advantage on all saving throws and other creatures have disadvantage on attack rolls against you until this spell ends
SPEAKER_02:  How long does it want?
SPEAKER_12:  1.
SPEAKER_12:  minute.
SPEAKER_02:  Oh shit! Okay, we don't have time to do anything.
SPEAKER_12:  started.
SPEAKER_09:  You also now are each individually glowing. So any sense of subtlety?
SPEAKER_09:  I just said it.
SPEAKER_09:  They were cluster of candles at the moment. But in this moment, while you cast that spell, what's everyone else doing?
SPEAKER_07:  Sorry, it gives a tack, it gives a van a drum what?
SPEAKER_09:  all your saving throws and attacks against you have disadvantage.
SPEAKER_07:  Okay, saving.
SPEAKER_09:  Jackson is
SPEAKER_10: Select this video!
SPEAKER_10:  Okay, so let's node this one.
SPEAKER_03:  And then...
SPEAKER_03:  Do we have to stay within 30 feet of you or it's... It's...
SPEAKER_03:  No, it's constant, but...
SPEAKER_12:  No, it's constant, but DM if another player, if I, in my nerves, stepped over, Sam talking, yeah, I'll hold off on that. I don't wanna step on his rope.
SPEAKER_02:  Okay, I'll add your step.
SPEAKER_02:  The only thing I was going to do is I was going to see if there's any place for us to duck in for a second and figure out what the fuck we're doing for just running in. Yes, or veil. Yeah, is there are we near anything that's hideable?
SPEAKER_12:  for just.
SPEAKER_09:  I mean, there are broken bits of ruins all around you. They're this massive wall there. You could try and duck behind. Correct. There are other soldiers and sounds of battle happening at all sides. So you're not certain if any sort of hiding is going to last for a prolonged period of time. Sure. Did we rot?
SPEAKER_07:  it
SPEAKER_10:  turn away
SPEAKER_10:  But down to each edge you can you can like hear and see skirmishes and like
SPEAKER_09:  Oh, entirely. And the massive dust storm that has consumed the sky pretty much above and past this kind of height area, you can still see like shadows.
SPEAKER_09:  shifting and flying through above where you can't make up the shape of moving by quickly.
SPEAKER_12:  And I'm sorry, would you say, like, this isn't the exact position then where we've finished and everyone caught up to it. On the last map in the last game, did we traverse some ground to get here?
SPEAKER_09:  a very brief bit of ground, like you just, you'd be further off that way. Go to the sake of not connecting them directly. There's maybe another 30 or 40 feet. And if the people who are ahead, which would have been you, Keyleth, Grog, and with the speed of the broom ply, Vexalia, you could either have gone on ahead, or you would have waited for the rest of the group to catch up to you. That's how you always allow you to decide right now.
SPEAKER_12:  I just assumed because we were, that's what I thought we were in the same place and just people were trusting us. So I didn't feel like we were, but I want Sam to have that right. That's okay.
SPEAKER_09:  Last thing I saw I didn't.
SPEAKER_09:  That's okay. So that your intent is to cast that in the time happens. Oh, yeah.
SPEAKER_08:  academic learning program.fighting program.
SPEAKER_12:  in the time.
SPEAKER_09:  So are the bugs that are ahead? Are you waiting for the rest of the group? Or are you gaining the...
SPEAKER_09:  the moment, utilizing momentum to come forward up to you.
SPEAKER_12:  So I think it would rely on if I could tell in this moment with.
SPEAKER_12:  My perception check of...
SPEAKER_12:  a natural 20.
SPEAKER_12:  If we have telecontel if they are noticed already in the open hovering in space or if it's so chaotic that that's not knowable.
SPEAKER_05:  If we have...
SPEAKER_09:  Perception 20.
SPEAKER_09:  I mean, you all have definitely made a splash when you landed.
SPEAKER_09:  Most of the combatants that have taken notice of you are currently engaged in other skirmishes, so you're not like unknown.
SPEAKER_09:  but the people that have seen you at the moment are currently engaged elsewhere. You're not sure for how long. I said that was a...
SPEAKER_12:  Natural 20 boosted to 30 with her status. Right. Says that it's not clear.
SPEAKER_12:  Correct.
SPEAKER_09:  You are not stealthed. You are not unnoticed. Right. It's just for... Yeah. The people that are around your target location have not yet noticed you. Okay. And others that have are currently engaged or uncertain for how long. So you have...
SPEAKER_12:  You are in the tip.
SPEAKER_12:  just for you.
SPEAKER_09:  a moment for a meal. You're in the middle of a field and you have a brief breath in the middle of the massive fight is what you're at.
SPEAKER_11:  We'll get back. Oh, you're in.
SPEAKER_12:  So then we're rewinding even like five seconds earlier, I would say that Leah tell knowing that she wanted to do this getting here would wait for people to catch up. So
SPEAKER_09:  Okay, so the intel is waiting. If it's already waiting for you to get it.
SPEAKER_12:  side was
SPEAKER_03:  Tell us what.
SPEAKER_03:  I would have pulled up. Lee have told us ahead of me. I would have pulled up if I saw her stopping and tried to look ahead and see if I can spot.
SPEAKER_03:  the orb.
SPEAKER_09:  Okay, make a perception check for me.
SPEAKER_03:  I don't have as good of perception.
SPEAKER_09:  Yeah, yeah, sure.
SPEAKER_03:  I'm 23.
SPEAKER_09:  23 isn't bad.
SPEAKER_09:  come
SPEAKER_09:  I mean...
SPEAKER_09:  The Malle is key in itself, which this is the first time that you've seen. Outside of like scrying rituals that have kind of helped you try and, you know, for the brief time before they got to spell, try and scope out the location.
SPEAKER_09:  This massive ancient construct that has been retrofitted with all manner of modern made check
SPEAKER_09:  at a glance you do not see an orb. All you see is the
SPEAKER_09:  extremely bright, almost eye-harming, red glow at the top, where the bloody bridge itself is currently firing up to the red moon. And you can see the glowing specter of shapes descending.
SPEAKER_09:  who knows what distance along that beam atop.
SPEAKER_08:  Come on.
SPEAKER_09:  seems that way. From where you stand right now, you cannot see an orb, but you can see there are all manner of like magic tech bits of glowing around its base. There are like veins carved through it, almost like our cane circuitry, that kind of pulsing glow and move around. It is...
SPEAKER_09:  Arcona is not your specialty, so at the moment you cannot see, but you get the sense that it exists in there. It's probably connected in some way to the rest of this.
SPEAKER_09:  Have your only one of us.
SPEAKER_12:  entsession results.
SPEAKER_09:  to have seen this before.
SPEAKER_09:  elements.
SPEAKER_03:  then I would pull up and wait for Key Live.
SPEAKER_09:  Okay, so next is waiting.
SPEAKER_08:  re Dungeons &Pg
SPEAKER_09:  Word to simple meaning,assian and then the trying look like a car ride with a major storm pace bolt, racetrack, pump and I like you but I don't want any VM determined to get teammates and
SPEAKER_09:  Thank you this brew.
SPEAKER_09:  What are you doing? I'll be right back.
SPEAKER_05:  Let's f***!
SPEAKER_09:  I can do this!
SPEAKER_07:  If you wanna wait, wait, wait, wait, wait. We should probably, we should probably chat about this. Really quick.
SPEAKER_09:  You say gravelly as your earth on the floor.
SPEAKER_07:  Graph.
SPEAKER_05:  Wasn't too much replicated to be formally, to be significantly relevant.
SPEAKER_10:  You're right, hold on. I've been doing this thing all normal size.
SPEAKER_10:  Oh, oh. Oh, oh, oh. I'll slam my chinese soap apples together and cast in large. OK, you got it.
SPEAKER_09:  So it hit me, uh, groggs me there.
SPEAKER_10:  B!
SPEAKER_10:  do that.
SPEAKER_09:  and replace him with this boy.
SPEAKER_10:  I'm going! I'm going! I'm going! I'm going!
SPEAKER_10:  Damn, that's a beefy mold.
SPEAKER_09:  That's a large baby.
SPEAKER_10:  ha wh wh
SPEAKER_09:  in all.
SPEAKER_10:  I put my back up against a building against a building.
SPEAKER_05:  I'm looking so bad.
SPEAKER_05:  what proposed
SPEAKER_11:  There's a bit of a conversation.
SPEAKER_07:  Um, would I?
SPEAKER_07:  remember in half knowledge of where the Vax orbit is. It's a...
SPEAKER_01:  It's easy.
SPEAKER_07:  Would it be like hidden in that tower or has it since moved? Has it been built around it?
SPEAKER_10:  when you were getting.
SPEAKER_09:  here.
SPEAKER_07:  Yeah, that's the thing.
SPEAKER_09:  That's the thing. You are carved within an inch of your life.
SPEAKER_09:  I would say...
SPEAKER_09:  Make a perception check the disadvantage to see if you are able to.
SPEAKER_09:  Notice it in the moment.
SPEAKER_09:  to recall it now.
SPEAKER_07:  this advantage.
SPEAKER_07:  you set a perception.
SPEAKER_07:  16.
SPEAKER_09:  16.
SPEAKER_09:  You know that it exists higher up on the tower, but you're not certain of the specific location.
SPEAKER_09:  And also do recall, you were given some instruction as the order of operations to free.
SPEAKER_09:  meaning.
SPEAKER_07:  I remember that.
SPEAKER_07:  Not right, but what was I told?
SPEAKER_09:  there was something else that needed to be removed first. Yeah.
SPEAKER_09:  the bacon.
SPEAKER_09:  Uh-huh. The strange arcane relic.
SPEAKER_07:  The strange arcane relic. The beacon. The beacon. Had to be removed. The beacon has to be removed. What is the picture?
SPEAKER_07:  Bye.
SPEAKER_09:  I see the side.
SPEAKER_07:  See?
SPEAKER_07:  I'm a city pocket making like those.
SPEAKER_09:  discuss last time so just want to make sure you're reminded.
SPEAKER_07:  This is it.
SPEAKER_10:  We would never do anything out of order of course, offer the consequences for doing.
SPEAKER_09:  Horsemanup.
SPEAKER_03:  We know this.
SPEAKER_12:  Of course.
SPEAKER_12:  Well, let's go to write it down. Piggy backing out there. Perception checks did they see anything that glowy?
SPEAKER_10:  Let's go and write it down.
SPEAKER_12:  like bacon.
SPEAKER_12:  Cut.
SPEAKER_09:  They're based on the perception checks you are too far to acknowledge the things specific.
SPEAKER_07:  Would you check me.
SPEAKER_09:  So that this is the best you can ascertain from this distance and with your capability.
SPEAKER_01:  I'm wondering if we'll move.
SPEAKER_01:  What would be your credit for now
SPEAKER_09:  something
SPEAKER_09:  Heavy and dark seems to cruise to the sky, this like cloud almost a uh an impossibly basic buzzing sound kind of...
SPEAKER_09:  kind of like arcs through the dust above you and then out of sight and out of your shot.
SPEAKER_02:  have the other.
SPEAKER_02:  have we all...
SPEAKER_09:  caught up at this point or still at this point the the slowest amongst you being probably pike on foot
SPEAKER_05:  Bye!
SPEAKER_09:  Vol drafting that manwick bro!
SPEAKER_09:  Of course, of course.
SPEAKER_05:  Of course. Of course.
SPEAKER_09:  Yeah, Percy and Pike being the slowest of the crew, based in the fact that you are both elemental and glide or cruise along in your flame form. But you all essentially gather up in that moment and you have a beat before you, or you're fairly certain whatever's nearby is going to begin to descend upon you. OK.
SPEAKER_07:  Okay. What do you mean? What do you mean? The mmmm. No, you didn't even know that. That, that, that, that.
SPEAKER_09:  no Emergency CONTINUES I fucking hate TOP
SPEAKER_09:  and it went off at the end of the storm. That's just the common. Has nothing to do with anything.
SPEAKER_05:  has nothing.
SPEAKER_05:  It's still heavy, and the spirit has to happen!
SPEAKER_06:  That's not gonna get a-
SPEAKER_09:  We haven't... We don't.
SPEAKER_09:  A flash of light is some sort of arcane bolt seems to streak through and blast something just beyond the Exterior the perimeter of the cloud and you see a You hear the crashing of something heavy in the distance
SPEAKER_07:  I'm wondering if we should have.
SPEAKER_07:  a stealth team or like a team that tries to go straight to dislodge the beacon.
SPEAKER_02:  While another team still surrounds, like a distraction team. Take it to an attention team. Infiltration team. That's how it begins to light up.
SPEAKER_07:  Thank you, Madam Chair. I'm taking you on that infiltration team. That's how I'll be.
SPEAKER_02:  Bye boy.
SPEAKER_01:  What's that like? What's that like?
SPEAKER_09:  Was that light note?
SPEAKER_09:  fires off the beach bursting wave of kind of translucent white lights not unlike the dispel towers that you had to say.
SPEAKER_02:  I'm going to do it for 19 distractions. Yeah, yeah, probably the elemental too.
SPEAKER_07:  Yeah, well I can I can earth glide underneath all of this and make a B-Lent Street for the tower.
SPEAKER_11:  I could dimension door to it.
SPEAKER_07:  Alright.
SPEAKER_11:  I could create some chaos in general and I don't need to be anyone near it.
SPEAKER_07:  I don't know.
SPEAKER_11:  So... You did it.
SPEAKER_03:  You two do, you two, you two, you two. Come with us.
SPEAKER_10:  I will wait before we go.
SPEAKER_10:  Hey guys.
SPEAKER_10:  Let's save a new world again.
SPEAKER_10:  Who would they do without us? Don't.
SPEAKER_05:  We're the best.
SPEAKER_02:  I'm so tired.
SPEAKER_01:  Good. It feels good.
SPEAKER_02:  Again.
SPEAKER_02:  Okay. Before we go, I'm just going to sort of turn to Keylith and say.
SPEAKER_02:  real quick I know this is unanswerable but like if it comes down to it
SPEAKER_02:  and there's a choice between...
SPEAKER_02:  leaving vax like this.
SPEAKER_02:  or destroying him.
SPEAKER_02:  Which would you rather?
SPEAKER_02:  have him.
SPEAKER_02:  If we gotup
SPEAKER_01:  Leave him like this. Leave him like this. Leave him like this.
SPEAKER_02:  leave a mic as we can figure it the fuck.
SPEAKER_11:  out.
SPEAKER_11:  Okay, we'll just go ahead. We'll clav it. Okay, we'll figure it out. Put them in the fridge box. You live?
SPEAKER_01:  Thank-you.
SPEAKER_11:  Do you have it?
SPEAKER_07:  Do
SPEAKER_07:  I mean, I hate...
SPEAKER_07:  the idea of him being stuck like that.
SPEAKER_02:  you want it back, right?
SPEAKER_02:  worst case we'll fix it
SPEAKER_07:  I'm not hoping on it though.
SPEAKER_02:  Sure.
SPEAKER_07:  Britain that off.
SPEAKER_07:  But if it's possible.
SPEAKER_09:  There are two flashes arrive and you watch as...
SPEAKER_09:  two more. It might be time.
SPEAKER_07:  It's going to move. All right, let's see. Okay, so it's me, Scanlan and Leo of Tel, trying to get to the beacon.
SPEAKER_12:  to move. All right, let's see.
SPEAKER_12:  won't last. I mean, for stealthing, that's gonna be longer than a minute.
SPEAKER_03:  Can you, can you do it to some of us and then the stealth team goes without the light on them?
SPEAKER_11:  We have to stay together for you, I think. Also, can we take a second to place ourselves before initiative or no?
SPEAKER_09:  Sorry.
SPEAKER_09:  You are essentially in that corner. Okay, so there's no sneaking around beforehand. If you want to try and continue around this path and then those who are moving will make a communal step check.
SPEAKER_11:  So, our V
SPEAKER_11:  beforehand if you want to
SPEAKER_11:  We are
SPEAKER_07:  All right. Thank you. Over there, we'll be on that far. We swear we're earring locked anyway.
SPEAKER_09:  The men with employees won't miss their paycheckletes anymore.
SPEAKER_11:  We're hearing long.
SPEAKER_12:  I recall.
SPEAKER_11:  There he is always
SPEAKER_07:  That's not going to be 10 rounds to get over there.
SPEAKER_11:  That's not.
SPEAKER_11:  I'm going to start making my way unless anyone has some check in injection.
SPEAKER_11:  No, Jackson's, I'm just gonna start skipping. I'm gonna wait till anybody other than Grog has an objection.
SPEAKER_07:  No.
SPEAKER_11:  Alright, you know
SPEAKER_07:  Did you pass the thing? Ron skips out into...
SPEAKER_09:  To the intersection...
SPEAKER_09:  Okay, go on and skip out into the open of the field which will require initiative roll
SPEAKER_10:  We're gonna do a style style dude.
SPEAKER_09:  We're gonna go ahead and stop.
SPEAKER_09:  I'm just trying to get here.
SPEAKER_09:  Alright, I'd like for you to make a stealth check.
SPEAKER_12:  Before anyone moves, I will do the whole malarkey that I spoke earlier. It's dim light, it's not bright light, so we are not shining like...
SPEAKER_09:  Holy girl!
SPEAKER_09:  Right.
SPEAKER_12:  But we're in a war zone here like lasers are firing around us
SPEAKER_09:  But in the chat work, well we're in a war zone.
SPEAKER_09:  Just right, yeah.
SPEAKER_12:  switch.
SPEAKER_09:  You're not blazing beacons, but you are walking candles.
SPEAKER_09:  This means shadowy alcoves, you're going to be like a bunch of lanterns.
SPEAKER_02:  21.
SPEAKER_02:  IRC
SPEAKER_02:  Jonathan, can I help you go?
SPEAKER_02:  So.
SPEAKER_12:  We'll let you through that. And if you're invisible, it'll be invisible. Okay, good.
SPEAKER_07:  I am going to cast Freedom of Movement.
SPEAKER_12:  Perfect.
SPEAKER_07:  on both myself and Scanlon.
SPEAKER_07:  So.
SPEAKER_05:  giving us a little movement.
SPEAKER_07:  You like.
SPEAKER_07:  You're unaffected by difficult terrain.
SPEAKER_07:  you can't be paralyzed or restrained.
SPEAKER_12:  Peace out.
SPEAKER_12:  and everybody that was at Vanage on the Hall saves and disadvantaged from enemies attacking, they have disadvantaged attacking you.
SPEAKER_05:  Okay, bye.
SPEAKER_12:  the
SPEAKER_12:  And then before it just...
SPEAKER_11:  starts up at one action but I'm waiting till it seems like everything is starting. You rolled yourself in check. Yeah. Anybody else else? I'll tell you what, anybody else?
SPEAKER_12:  about one action but I'm waiting.
SPEAKER_09:  Well, you rolled yourself in check. Anybody else tell thing about that? Anybody else?
SPEAKER_11:  Anybody else?
SPEAKER_10:  Anybody else?
